,name,rating,type,ailment_tokens,positive_effects,negative_effects,description,effects,flavors,strain_id
217,Blueberry Muffins,4.32,hybrid,"['depression', 'pain', 'stress', 'lack', 'appetite', 'headache']","Relaxed, Euphoric, Happy, Uplifted, Focused","Dry Mouth, Dry Eyes","Blueberry Muffins is the thoroughly baked indica-dominant hybrid of parent strains Afghani and Blueberry. The complimentary genetics make for a strong yet functional indica that exhibits a classic aroma of -- you guessed it -- blueberry muffins. Its fruity palate and functional body buzz helps curb anxiety, chronic pain, and nausea. This strain was bred and developed by Humboldt Seed Company.","Relaxed,Euphoric,Uplifted,Happy,Creative","Blueberry, Sweet, Berry",217
218,Blueberry Pancakes,3.86,hybrid,"['depression', 'pain', 'stress', 'inflammation', 'muscle', 'spasm']","Relaxed, Hungry, Euphoric, Happy, Focused","Dry Mouth, Dry Eyes","Blueberry Pancakes is a delicious indica-dominant hybrid that miraculously tastes like blueberry pancakes. With dense, slightly purple buds, this strain exhibits an aroma of blueberries, grape, and dough. Flavors of syrup and tart berry are especially present when vaporized or when utilizing non-butane combustion techniques, like hemp wick or herb irons. Blueberry Pancakes offers classic indica effects, including a weighted, relaxing physical buzz that can curb physical discomfort, nausea, joint pain, and insomnia.","Relaxed,Sleepy,Hungry,Happy,Euphoric","Blueberry, Sweet, Earthy",218
219,Blueberry Pie,3.64,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'fatigue']","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Dry Eyes, Anxious","Blueberry Pie is the indica-dominant hybrid of two famous strains, Girl Scout Cookies and Blue Dream. Each strain in this potent cross has its own claim to fame, but when combined their unique attributes coalesce to form a strain greater than the sum of its parts. The blueberry flavor and mental haze of Blue Dream contributes to the stilted cerebral buzz, which is then anchored through the Kush-heavy effects of Girl Scout Cookies, amounting to a strain that shrugs off stress and mutes mild physical discomfort.","Relaxed,Happy,Uplifted,Euphoric,Sleepy","Blueberry, Sweet, Berry",219
220,Blueberry Silvertip,4.09,hybrid,"['pain', 'stress', 'fatigue', 'headache', 'inflammation']","Relaxed, Happy, Energetic","Dizzy, Dry Mouth, Dry Eyes","Blueberry Silvertip first took root in Big Sky Country when a Montana Silvertip plant was crossed with the famous indica Blueberry. The result is a smooth, flavorful hybrid that is sweet, fruity and works well for managing pain, anxiety, and migraines.","Happy,Uplifted,Giggly,Relaxed,Euphoric","Berry, Blueberry, Flowery",220
221,Blueberry Skunk,3.41,indica,"['depression', 'pain', 'stress', 'headache', 'muscle', 'spasm']","Relaxed, Euphoric, Happy, Uplifted, Giggly","Dry Mouth, Paranoid, Dry Eyes, Anxious","Blueberry Skunk is an indica-dominant hybrid of Blueberry and Skunk #1 with definite sativa tendencies. Skunk #1’s vigor, yield, and reliability are preserved, and Blueberry brings to the mix its heavy resin production and sweet berry flavors blended with an earthy, skunky musk. During flowering, most plants double or triple their vegetated height, with fat, resin-crusted buds closing the gaps between internodes. The effects are led by a long-lasting euphoric buzz that generates giggles as well as the munchies.","Euphoric,Relaxed,Uplifted,Creative,Happy","Blueberry, Berry, Sweet",221
222,Blueberry Waltz,4.55,indica,"['depression', 'stress']","Euphoric, Happy, Talkative, Uplifted, Giggly",Not Available,Blueberry Waltz is an indica-dominant strain that took first place in the 2014 Denver Cannabis Cup’s solventless hash category.,"Talkative,Uplifted,Euphoric,Happy,Giggly","Blueberry, Sweet, Tropical",222
223,Blueberry Yum Yum,4.09,hybrid,"['depression', 'stress', 'lack', 'appetite', 'nausea', 'headache', 'headache']","Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Blueberry Yum Yum is a hybrid strain whose popularity was ushered in by rap artist Ludacris and his song centered on the strain. While certainly the progeny of the famed Blueberry indica, its other parent is suspected to have been a Durban Poison sativa. Because of its parents’ polarity, Blueberry Yum Yum can express a wide spectrum of effects, but consumers typically report uplifting, happy effects perfect for any time of the day. Though dominated by an unmistakable blueberry aroma, accents of earthy mint and pine can also be detected on the palate.","Happy,Uplifted,Euphoric,Relaxed,Giggly","Blueberry, Sweet, Berry",223
224,Blues,2.73,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite']","Hungry, Happy, Talkative, Focused",Dry Mouth,"Blues, also known as “Livers,” is a famous hybrid strain in the U.K. Its origins are a well-kept secret, but many speculate Blues to be a unique phenotype of Sensi Seeds’ Skunk #1 from the 80’s. Those who have chanced upon this mysterious clone-only strain describe its effects as uplifting, long-lasting, and clear-headed. Blues plants are strong and resilient, growing large buds that give off a sweet berry aroma.","Happy,Relaxed,Uplifted,Creative,Sleepy","Berry, Pungent, Blue Cheese",224
225,Bluniverse,4.32,hybrid,"['depression', 'pain', 'stress', 'nausea', 'headache']","Relaxed, Hungry, Euphoric, Happy, Uplifted",Dry Mouth,"Bluniverse, also called Blue Universe, is a 50/50 hybrid strain bred by Dynasty Seeds. Mothered by Blue Magoo and fathered by Ms. Universe, Bluniverse inherits a complex flavor profile of blueberry, cherry, and vanilla spice. Its initial effects focus themselves cerebrally, with high-flying euphoria that tapers into pacifying relaxation over time. This hybrid may express one of three different phenotypes, one that takes after Blue Magoo, another taking after Ms. Universe, and a third that exhibits a balance of each parent’s characteristics.","Euphoric,Uplifted,Happy,Tingly,Creative","Blueberry, Berry, Earthy",225
226,Blurple,3.41,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'nausea']","Euphoric, Happy, Energetic, Focused, Giggly",Dry Mouth,"Blurple, also known as Blue Dream Purple, is a balanced hybrid cross between Blue Dream and Mendocino Purps. Its effects position themselves cerebrally at first, with gentle body relaxation that keeps you feeling light and free of tension. Drawing from both sides of the family, Blurple carries a sweet, dessert-like berry and grape aroma that comes to life on the inhale. This strain earns its name as bluish purple hues swirl throughout Blurple’s green buds.","Happy,Euphoric,Energetic,Hungry,Focused","Pepper, Tobacco, Sweet",226
227,Blush,5.0,hybrid,"['fatigue', 'eye', 'pressure', 'muscle', 'spasm']","Hungry, Happy, Creative","Dry Eyes, Anxious","Blush by Gastown is a balanced hybrid strain with uplifting cerebral effects and relaxing physical attributes. This strain tends to symptoms of depression by elevating the consumer’s mood with an intense, smile-inducing euphoria. This smiley head-high slowly dissolves into the body, saddling the limbs with a calming weight that allows the consumer to relax and relinquish stressful thoughts. Enjoy Blush near the end of the day to maximize its stress relieving qualities.","Talkative,Creative,Happy,Hungry,Relaxed","Earthy, Honey, Pepper",227
228,Bob Saget,4.55,sativa,"['depression', 'stress', 'fatigue', 'inflammation', 'muscle', 'spasm']","Relaxed, Happy, Creative, Energetic, Uplifted",Not Available,"Bob Saget is a stimulating sativa that won 2nd place at the 2016 Colorado Cannabis Cup. This addled comedian gets the heart pumping, stimulating the consumer to the point of agitation. But fear not, the energy subsides and settles into an uplifted, cerebral haze that is lucid, yet spacey. As this strong sativa fades, expect a stoney crash that represents Saget’s latent Pre-98 Bubba Kush and Afghani genetics.","Uplifted,Happy,Relaxed,Creative,Talkative","Chemical, Sage, Diesel",228
229,Bogart,2.73,hybrid,"['depression', 'pain', 'stress', 'nausea', 'fatigue']","Happy, Talkative, Uplifted, Sleepy, Giggly",Not Available,"Bogart is a rendition of OG Kush distributed by Canadian LP Tweed that delivers hefty euphoric effects suitable for consumers with a high cannabis tolerance. As you might expect from an OG Kush flower, Bogart smells earthy and woody like a pine tree, with subtle hints of sour lemon. The high THC content of Bogart makes this hybrid strain particularly useful for patients treating PTSD, nausea, pain, and stress.","Happy,Talkative,Uplifted,Euphoric,Giggly","Citrus, Sweet, Tropical",229
230,Boggle Gum,2.73,hybrid,"['insomnia', 'pain', 'stress', 'lack', 'appetite', 'headache', 'inflammation']","Relaxed, Hungry, Happy, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes",Boggle Gum is a relaxing hybrid cross between Northern Lights #5 and BOG Bubble.,"Happy,Relaxed,Hungry,Sleepy,Giggly","Sweet, Earthy, Grape",230
231,Booger,4.32,hybrid,"['depression', 'pain', 'stress', 'fatigue', 'headache']","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes","Booger may not have an appetizing name, but a look at this hybrid’s genetics may be all the convincing you need to give this strain a try: Strawberry Cough combines with Bubba Kush to create a balanced effect that walks the line between physical relaxation and cerebral energy. This Colorado native introduces itself with a sweet berry and sour skunk aroma while earthy, hashy flavors are detected on the exhale. With uplifting and calming effects, Booger uncoils stress and worry while encouraging a more lighthearted outlook on life (because seriously, you’re consuming a strain called “Booger”).","Happy,Focused,Uplifted,Creative,Giggly","Sweet, Earthy, Berry",231
232,Bordello,3.86,hybrid,"['depression', 'pain', 'stress', 'inflammation', 'muscle', 'spasm']","Relaxed, Euphoric, Happy, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Bordello is a strain that is slightly indica-dominant in makeup, but it also provides patients with a heavy dose of sativa-like mental effects. This strain hits behind the eyes first, with some tingling and a release of pressure that may make it an effective choice for treating migraines or eye conditions such as glaucoma. The relaxation spreads throughout the body, giving powerful pain relief. While this cross of Blueberry Apocalypse and Alexis strains makes patients feel euphoric and uplifted, it definitely knocks out all mental focus, so save it for a day that’s free of pressing plans. Bordello’s flowers will be loose with some curly leaves and have a subtle fruit and herb aroma.","Relaxed,Euphoric,Uplifted,Happy,Creative","Sweet, Citrus, Earthy",232
233,Boss Hogg,3.86,hybrid,"['insomnia', 'pain', 'stress', 'lack', 'appetite', 'muscle', 'spasm']","Relaxed, Hungry, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Boss Hogg by Cali Connection is an indica-dominant hybrid cross between Chemdawg 4 and another Chem 4 backcross. This strain carries a strong earthy, hashy aroma that mixes with the funky sour diesel notes of its Chemdawg parent. A true hybrid, Boss Hogg delivers a balance of mind and body effects that ease the body into relaxation while the mind is lifted to a happy, euphoric state. Despite its heavy body effects, Boss Hogg is cerebrally stimulating and sharpens the senses to help you stay engaged and creative.","Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy, Woody, Lemon",233
234,Brains Damage,3.64,indica,"['depression', 'insomnia', 'stress', 'lack', 'appetite', 'muscle', 'spasm']","Relaxed, Hungry, Happy, Sleepy","Dry Mouth, Anxious","Bred by KC Brains in Holland, Brains Damage is a hybrid cross between Acapulco Mexican, Mango, Hawaiian, and KC 636. A fusion of sweet fruit and earthy hash radiate from the buds, with cerebrally-focused effects best described as mellow and relaxed. A subtle, energizing kick hints at this strain’s genetics, which lean toward the sativa side of the spectrum. Though originally intended for an end-of-September harvest in outdoor gardens, Brains Damage also does fairly well indoors with an 8 to 10 week flowering period.","Euphoric,Focused,Relaxed,Sleepy,Hungry","Pine, Diesel, Menthol",234
235,Brainstorm Haze,2.5,sativa,"['depression', 'pain', 'stress', 'nausea', 'headache', 'muscle', 'spasm']","Happy, Energetic, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Brainstorm Haze was first bred by Delta 9 Labs after an extensive search through Thailand for just the right strains. A cross between a Thai landrace and Stargazer (Sensi Star x Warlock x AK-47), this strain takes a little effort to grow and has a long flowering time of 10-12 weeks, but it typically returns large buds and high yields. These plants can be grown indoors or outdoors in warm climates. The flowers have the fruity and floral characteristics Haze strains are known for and the buds tend to be denser than average when it comes to sativas. Brainstorm Haze produces a clear, upbeat high that takes a little bit to kick in, but pays off well for Haze lovers.","Talkative,Happy,Uplifted,Focused,Energetic","Earthy, Spicy/Herbal, Pepper",235
236,Brainwreck,4.32,hybrid,"['depression', 'pain', 'stress', 'lack', 'appetite', 'eye', 'pressure']","Relaxed, Hungry, Euphoric, Happy, Uplifted",Not Available,"Brainwreck is the 50/50 hybrid cross of parent strains Trainwreck, Brain Child, and Brain. Trainwreck and Brain Child (Willy’s Wonder x Jack Herer) give this strain rich, lung-expanding notes of pine that blend well with the sweet, earthy aromas of its indica parentage. Brainwreck is exhilarating and cerebral from the onset, making it a worthwhile strain for consumers seeking to overcome fatigue. Its effects will remain mentally elevated even while the physical effects mellow and level out.","Creative,Focused,Uplifted,Happy,Euphoric","Earthy, Citrus, Sweet",236
237,Brand X,5.0,indica,"['insomnia', 'pain', 'stress', 'lack', 'appetite', 'nausea']","Relaxed, Hungry, Happy, Sleepy","Dry Mouth, Paranoid, Dry Eyes","Brand X, also known as The Ostipow Indica, is a decades-old heirloom strain that hails from Michigan. Earthy pine aromas mingle with notes of hashy mint in a flavorful introduction to this indica's heavy full-body relaxation. The sedating effects come coupled with a hazy euphoric head buzz that leaves you floating in a blissful headspace for hours. Its buds grow into tightly compacted cones that exude thick layers of frosty resin in a show of Brand X’s high THC content.","Sleepy,Relaxed,Hungry,Happy,Euphoric","Earthy, Pine, Tar",237
238,Brazil Amazonia,3.86,sativa,['nan'],Relaxed,Not Available,"Brazil Amazonia is a potent Brazilian landrace collected by World of Seeds. They chose a unique phenotype that flowers early and remains squat, making it a desirable cut for incognito outdoor growers. This 90% sativa-dominant strain has stimulating effects that burst forth, exhausting the limbs and mind to a point of relaxation and appetite stimulation. Brazil Amazonia emits a musky, woody aroma that has hints of bittersweet fruit.","Uplifted,Euphoric,Focused,Happy,Relaxed","Berry, Earthy, Spicy/Herbal",238
239,Brian Berry Cough,3.86,hybrid,"['depression', 'pain', 'stress', 'nausea', 'headache']","Relaxed, Euphoric, Happy, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Brian Berry Cough from TGA Genetics is a balanced 50/50 hybrid strain that crosses Strawberry Cough and Space Queen. Bred for flavor as well as potency, this strain inherits a loud strawberry and cherry aroma with traces of candied fruit. Its powerful, high-velocity effects center themselves cerebrally at first and then quickly spread to relax the rest of the body. Knots of lavender and green calyxes burst from the tall plants, crowned with deep purple-tipped fan leaves.","Happy,Uplifted,Relaxed,Energetic,Hungry","Berry, Sweet, Sage",239
240,Brooklyn Mango,4.77,hybrid,"['depression', 'pain', 'stress', 'lack', 'appetite', 'fatigue']","Euphoric, Happy, Uplifted, Giggly, Aroused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Brooklyn Mango, bred by Dr. Underground, is a hybrid that combines Ed Rosenthal Super Bud with NYC Diesel. The resulting buds carry a mix of diesel and tropical fruit flavors, like pineapple, mango, and lemon. The effects of Brooklyn Mango are a mix of cerebral energy with calm and comforting body relaxation.","Euphoric,Aroused,Uplifted,Happy,Talkative","Mango, Tropical, Citrus",240
241,Bruce Banner,4.09,hybrid,"['depression', 'pain', 'stress', 'lack', 'appetite', 'headache']","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Bruce Banner might be best known as the alter-ego of comic book hero The Incredible Hulk, but maybe he wouldn’t be such a stressed out ball of anger if he just had some of his namesake strain. This green monster also has hidden strength and features dense nugs that pack the power of very high THC content. It’s a powerful strain whose effects come on quickly and strong and then tend to settle into a euphoric and creative buzz. The sativa effects of this strain are most evident and linger mostly in the head, but it does also provide body relaxation and pain relief that make it an appropriate daytime medication for some. Dark Horse Genetics bred this strain from OG Kush and Strawberry Diesel, and its heritage can be found in its diesel aroma with sweet undertones. Plants flower at 8 to 10 weeks. This strain does have three main phenotypes, one of which is Bruce Banner #3.","Happy,Euphoric,Relaxed,Uplifted,Creative","Earthy, Sweet, Diesel",241
242,Bubba Kush,3.41,indica,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite', 'headache']","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Bubba Kush is an indica strain that has gained notoriety in the U.S. and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while coercing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple.Bubba’s stocky plant stature and bulky bud structure suggest Afghani descent, but its genetic origins aren’t certain. The breeder whom this strain was named after states that Bubba Kush emerged just after 1996, when an OG Kush hybrid pollinated an unknown indica strain obtained in New Orleans. The mother plant was supposedly Northern Lights, but the genetically ambiguous indica was simply called “Bubba.” Bubba Kush has flourished from its California roots ever since.","Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy, Sweet, Pungent",242
243,Bubba Tom Hayes,4.77,hybrid,"['depression', 'stress', 'fatigue']","Hungry, Euphoric, Happy, Energetic, Talkative",Not Available,"Bubba Tom Hayes is a hybrid that crosses Pre-98 Bubba Kush with a select Haze variety that was bred by Tom Hill. The hybrid tends to be Haze-dominant with a sweet, herb flavor that mixes with musky Kush undertones. The effects tend to be led by the sativa genetics as well, inciting uplifting cerebral activity that eventually fades to a relaxing body effect. The Bubba Kush influence helps speed up the flowering cycle, allowing Bubba Tom Hayes to finish in around 10 weeks when cultivated indoors.","Euphoric,Happy,Uplifted,Creative,Talkative","Earthy, Pungent, Ammonia",243
244,Bubble Cheese,2.27,indica,"['headache', 'headache', 'eye', 'pressure']","Relaxed, Euphoric, Happy, Creative, Sleepy",Dry Mouth,"Bubble Cheese, bred by Big Buddha Seeds, is an 85% indica strain that brings in genetics from Cheese, Bubble Gum, and Hubba Bubba Kush. With an earthy, hashy aroma, Bubble Cheese delivers sedating effects that relax the mind and body without heavy mental cloudiness.","Relaxed,Hungry,Sleepy,Tingly,Talkative","Cheese, Earthy, Tropical",244
245,Bubble Gum,2.95,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite', 'headache']","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Originally Bubble Gum was developed by growers in Indiana. From there the genetics moved to New England and eventually Holland. It took many generations to finally produce a stable Bubble Gum with the characteristic sweet smell and euphoric high. Bubble Gum was the winner of two awards in the Cannabis Cup of '94, and the 2nd place winner in '95 and again in '99.","Happy,Relaxed,Euphoric,Uplifted,Hungry","Sweet, Flowery, Berry",245
246,Bubbleberry,3.64,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'headache', 'spasticity']","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Bubbleberry is a treat for cannabis consumers on either side of the indica-sativa divide. Combining the sweet, floral taste and aroma of Bubble Gum with the all-star fruity skunkiness of Blueberry, this strain has depth while remaining immensely palatable. Enjoy this strain anytime, day or night, but understand that this strain’s pungent aroma will turn heads from 50 yards away.","Happy,Relaxed,Focused,Uplifted,Hungry","Sweet, Berry, Blueberry",246
247,Bubblegum Kush,3.41,indica,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite', 'headache']","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","An 80% indica strain from Bulldog Seeds in the Netherlands, Bubblegum Kush is a cross between Bubble Gum and an undisclosed Kush. An easy-to-grow plant that produces huge yields of frosty, resinous buds, it is popular with growers and hash-makers alike. Bubblegum Kush has a sour smell and flavor, and with a THC content in the 18% range, this indica will leave users fully relaxed and glued to the couch.","Relaxed,Happy,Sleepy,Uplifted,Talkative","Sweet, Earthy, Flowery",247
248,Bubblegun,2.27,hybrid,"['depression', 'pain', 'stress', 'nausea', 'headache', 'headache']","Relaxed, Euphoric, Happy, Uplifted, Tingly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Bubblegun is a hybrid strain whose name plays homage to its genetics—it’s a slightly indica-dominant cross of Bubble Gum and AK-47. Good for treating insomnia and pain, this balanced hybrid starts off with uplifting effects that bring strong pain relief and sedation properties. As plants, Bubblegun shows off its indica side by staying short and flowering in 8 to 9 weeks. Flowers will be compact and give off a sugary bubble gum aroma. This strain is also popular for those looking to boost their appetite.","Happy,Focused,Aroused,Talkative,Uplifted","Pepper, Blueberry, Mint",248
249,Bubblicious,3.41,hybrid,"['depression', 'insomnia', 'stress', 'headache', 'muscle', 'spasm']","Relaxed, Hungry, Euphoric, Happy","Dizzy, Dry Mouth, Dry Eyes","Bubblicious (not to be confused with Wonka’s Bubblicious) is Nirvana Seeds’ rendition of the classic Indiana Bubble Gum. Refined in the Netherlands since the 1990s, Bubblicious captures the signature bubble gum flavor that first lent this hybrid widespread notoriety. Sometimes, Bubblicious will even take on a pink hue that further justifies the naming of this sweet-smelling hybrid. Potent and relaxing, Bubblicious offers full-body effects that soothe tension and stress even in seasoned THC veterans.","Happy,Relaxed,Talkative,Giggly,Uplifted","Sweet, Earthy, Rose",249
250,Buckeye Purple,3.41,indica,"['depression', 'pain', 'eye', 'pressure', 'inflammation', 'muscle', 'spasm']","Relaxed, Euphoric, Happy, Sleepy, Focused",Not Available,"Buckeye Purple by Melvanetics is an indica-dominant cross of heavy genetics. Created by breeding Gorilla Grape and Granddaddy Purple, this beautiful cross produces pink and purple colas that reek of sweet floral terpenes. Buckeye Purple is known for its deep relaxation and leaden couchlock, as well as its reasonable flowering time of approximately 7 to 8 weeks.","Sleepy,Relaxed,Euphoric,Focused,Happy","Diesel, Grape, Berry",250
251,Buddha Haze,4.09,sativa,"['depression', 'pain', 'stress', 'lack', 'appetite', 'fatigue']","Euphoric, Happy, Creative, Uplifted, Giggly","Dry Mouth, Paranoid, Dry Eyes","Buddha Haze is an 85% sativa strain bred by Big Buddha Seeds. Parented by Amnesia Haze and Manga Rosa, Buddha Haze offers a complex aroma that blends together sweet mango and spice. Its upbeat, energetic buzz is perfect for those days that require unencumbered focus and attention.","Giggly,Happy,Uplifted,Euphoric,Talkative","Spicy/Herbal, Earthy, Woody",251
252,Buddha Tahoe,3.86,indica,"['insomnia', 'pain', 'stress', 'headache', 'eye', 'pressure']","Relaxed, Euphoric, Happy, Uplifted, Tingly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Buddha Tahoe is what you get when Big Buddha Seeds reverses Cali Connection’s Tahoe OG Kush to create their own rendition of this indica staple. Like its OG ancestors, Buddha Tahoe maintains a zesty lemon and earthy hash aroma typical of kush varieties. Potent and long-lasting, Buddha Tahoe launches you into to the highest level of cerebral euphoria which won this strain 3rd place in the 2011 High Times Cannabis Cup.","Relaxed,Happy,Euphoric,Uplifted,Hungry","Sweet, Pine, Lemon",252
253,Buffalo Bill,3.18,sativa,"['depression', 'pain', 'stress', 'cramp', 'headache', 'fatigue']","Relaxed, Euphoric, Happy, Uplifted, Tingly","Dizzy, Dry Mouth, Dry Eyes, Anxious","Buffalo Bill is a sativa-dominant cross between Willie’s Wonder and Killer Ken bred by New House Seeds and grown by Doc and Yeti’s in Washington state. A blanket of crystal resin envelops the dense buds, almost hiding its interweaving green and lavender hues. Though 70% sativa by genetics, Buffalo Bill can hit with a force that leaves you anchored to your seat while the mind freely roams blissful euphoria. A sweet, earthy pine aroma floats from its kief-caked jar, sending your senses straight to a wintery tundra.","Relaxed,Uplifted,Tingly,Euphoric,Happy","Pine, Sweet, Earthy",253
254,Burkle,4.77,indica,"['depression', 'pain', 'stress', 'lack', 'appetite', 'headache', 'muscle', 'spasm']","Relaxed, Happy, Uplifted, Tingly, Sleepy",Dry Eyes,"Burkle, 3rd place winner of Best Indica Flower at the 2016 Colorado Cannabis Cup, is an indica-dominant hybrid that crosses Pre-98 Bubba Kush with Granddaddy Purple (though some claim it to be Purple Urkle based on the name). The result is a powerfully relaxing indica that consumes the body with calming effects that ease away pain and induce sleep. Burkle is great for a lazy evening at home, but not so great for being productive. Its sweet flavor profile is a blend of spiced licorice aromas and an earthy peppermint aftertaste. This strain is known to produce a case of the munchies which makes it a good choice for those suffering from a lack of an appetite.","Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy, Berry, Sweet",254
255,Burmese Kush,3.18,hybrid,"['depression', 'pain', 'stress', 'lack', 'appetite', 'nausea', 'headache']","Relaxed, Euphoric, Happy, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","This hybrid strain is almost half sativa and tends to give users a calm, mellow outlook. Bred by T.H. Seeds as a cross that includes the California classic, OG Kush, this plant will be dark green and have a piney aroma with a sweet aftertaste. Growth can be slow to start so Burmese Kush is best for indoor conditions where growth speeds up and plants flower in 7-8 weeks. The effects also tend to come on slowly but can be strong and long-lasting once they do.","Uplifted,Relaxed,Happy,Euphoric,Creative","Earthy, Sweet, Pine",255
256,Butterscotch,3.41,indica,"['depression', 'insomnia', 'pain', 'stress', 'muscle', 'spasm']","Relaxed, Euphoric, Creative, Focused","Dizzy, Dry Mouth, Dry Eyes","Butterscotch is a treat of a strain that gets its name from its distinctive candy aroma. This strong indica helps patients to gain some mental peace and unwind from a stressful day. Effects tend to be sedative and sleep-inducing, so Butterscotch is a good choice for treating insomnia.","Relaxed,Euphoric,Focused,Creative,Sleepy","Nutty, Tar, Woody",256
257,C13 Haze,3.64,sativa,"['depression', 'pain', 'stress', 'nausea', 'headache', 'muscle', 'spasm']","Euphoric, Happy, Creative, Energetic, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes",C13 is one of the many strains in the DNA Genetics catalog. It's a cross between Cannalope Haze and G13. This hybrid grows and smells more like the G13 side of its lineage and tastes fantastic. C13 is nice for relieving pain and anxiety-related symptoms.,"Euphoric,Creative,Uplifted,Energetic,Giggly","Earthy, Pungent, Chestnut",257
258,C4,3.86,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'nausea', 'headache']","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes","An indica-leaning cross between Cotton Candy and Shiskaberry, C4 is known for its high yields and resin production that make it an excellent option for producing top-notch concentrates. The fruity aroma is highlighted by a thick, earthy tones that mixes with flavors of pine and citrus. Its deep, relaxing effects are recommended to those battling depression and anxiety, and are sure to blow you out of any funk you may find yourself in.","Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy, Citrus, Lemon",258
259,Cabbage Patch,3.64,hybrid,"['depression', 'pain', 'stress', 'fatigue', 'muscle', 'spasm']","Relaxed, Happy, Energetic, Uplifted, Giggly",Not Available,"Cabbage Patch is a sativa-dominant hybrid that combines Cherry Pie and Durban Poison genetics. The resulting buds are sweet, earthy and have hints of fruit flavors. Cabbage Patch delivers uplifting effects that are great for social settings and are known to spark creativity and laughter while relaxing muscle pains.","Relaxed,Happy,Uplifted,Giggly,Energetic","Grapefruit, Menthol, Nutty",259
260,Cactus,4.09,indica,"['depression', 'insomnia', 'pain', 'stress', 'inflammation']","Relaxed, Euphoric, Happy, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","First bred by Jordan of the Islands, Cactus is an indica cross between Afghani and Northern Lights and is named after its vague resemblance to the pear cactus. Cactus buds are conic with knobby formations and emit an organic earthy aroma with citrus notes. This indica is an adept painkiller, providing relief to aches and sore muscles as well as spasms and anxiety. While its indica genetics prepare us for a sleepy, relaxed experience, many describe Cactus as having more uplifting, energizing effects characteristic of sativa strains. Cactus has become a popular staple among the connoisseurs of Seattle, and was among the first place winners in the 2012 High Times Cannabis Cup.","Euphoric,Happy,Uplifted,Relaxed,Hungry","Citrus, Earthy, Pungent",260
261,Cactus Cooler,3.86,hybrid,"['depression', 'pain', 'stress', 'nausea', 'headache']","Euphoric, Creative, Energetic, Uplifted, Focused",Not Available,"Cactus Cooler is a sativa-dominant strain that’s said to be a cross between Blue Dream and OG Kush. The sativa in Cactus Cooler lends an upbeat cerebral kick to help you stay focused and productive throughout the day, while the OG boosts the senses with buzzing euphoria. With notes of sharp lemon and sweet wildflowers, Cactus Cooler takes after both parents in its fragrance.","Creative,Euphoric,Focused,Happy,Energetic","Citrus, Sweet, Chemical",261
