,name,rating,type,ailment_tokens,positive_effects,negative_effects,description,effects,flavors,strain_id
48,Apollo 11,3.64,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'headache', 'headache']","Relaxed, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Apollo 11 is a potent hybrid cannabis strain with strong cerebral effects that might just have your head feeling like it’s making a moon landing. It’s another strain created by breeders Brothers Grimm and is the half-sister to another heady sativa, Apollo 13. Apollo 11 also has Genius (a Jack Herer phenotype) as a mother, but was crossed with Cinderella 99 to create this uplifting strain. This Apollo shares the family trait of an extremely fast flowering time, usually before 8 weeks. There is some variety among plants, but in general they will stay shorter and develop lots of branches and bud sites. The resinous flowers will have a strong, sharp citrus aroma and a slightly subtler lemon flavor. Effective for treating stress and moderate pain, for a few hours this strain will give you a first-class trip out of this world.","Uplifted,Happy,Euphoric,Relaxed,Creative","Pungent, Cheese, Citrus",48
49,Apollo 13,3.64,hybrid,"['depression', 'pain', 'stress', 'headache', 'fatigue', 'headache']","Relaxed, Euphoric, Happy, Energetic, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Apollo 13 consistently receives quite a bit of praise that has come to be expected with strains created by breeders Brothers Grimm. A cross between two of their other successful strains, P75 and Genius (a Jack Herer phenotype), this strain has a decorated lineage. Apollo 13 has the distinction of being especially rare as it is said that only 500 seeds came from the original stock and the few cuttings are the stuff of legend. This plant is less finicky than most and is often recommended for new grower. It also flowers very quickly at 7-8 weeks, producing large sticky buds. Apollo 13’s aroma is unique and very pungent. Its scent has been described as peppery and earthy with a punch of both sour fruit and citrus, while the taste takes on the herbal notes of tea with a skunky aftertaste. As its name suggests, this strain will have your head in the clouds as its effects are cerebral and energizing. While the more popular version of this hybrid is the sativa-dominant plant, be aware that an indica-dominant version is also out there.","Happy,Euphoric,Energetic,Uplifted,Creative","Earthy, Sweet, Woody",49
50,Appalachia,4.55,hybrid,"['pain', 'cramp', 'lack', 'appetite', 'inflammation', 'muscle', 'spasm']","Relaxed, Hungry, Euphoric, Happy, Creative",Dry Eyes,"Appalachia is a hybrid cross between Green Crack and Tres Dawg bred by High & Lonesome Seeds. A layer of white, cloudy trichomes gives the buds a sage green color with darker leaves and fiery hairs peeking out from underneath. With an aroma of earthy pine and subtle fruit, Appalachia delivers a dreamy and yet functional cerebral buzz paired with relaxing full-body effects. Sensory perception and appetite are sharpened while pain and other symptoms dull, making Appalachia a coveted strain among medical patients and recreational consumers alike.","Relaxed,Euphoric,Happy,Creative,Giggly","Pungent, Earthy, Woody",50
51,Appalachian Power,3.41,sativa,['nan'],"Euphoric, Happy, Creative, Energetic, Focused",Not Available,"Appalachian Power by Soulshine Cannabis is a potent sativa-dominant strain with a rich genetic lineage. By crossing The Appalachian (Grape Punch x Life Saver) with The Power (Island Sweet Skunk x White Widow), Appalachian Power was born. With a deep roster of genetic varieties at its back, it’s no surprise that Appalachian Power’s aroma and flavor offer a unique and rewarding palate of grape, banana, and pineapple. The effects pack a stimulating kick that is not for the faint of heart. It can cause mild paranoia in the uninitiated, but if the dosage is respected, this strain can suit all manner of physical activity and combat lethargy.","Euphoric,Creative,Focused,Talkative,Uplifted","Tropical, Grape, Citrus",51
52,Apple Jack,1.82,hybrid,"['depression', 'stress', 'nausea', 'fatigue', 'muscle', 'spasm']","Euphoric, Happy, Creative, Talkative, Uplifted","Dizzy, Dry Eyes, Anxious","Apple Jack is the beautiful and popular hybrid cross of Jack Herer and White Widow. This potent combination embodies the uplifted clarity of Jack Herer while applying a warm, soothing relaxation to the body. This strain works wonders for patients and consumers suffering from chronic physical pain and nausea. Apple Jack’s aroma, as you might guess, is one of sweet sliced apples with hints of skunk and earth.","Happy,Relaxed,Focused,Energetic,Tingly","Apple, Pungent, Skunk",52
53,Apple Kush,4.09,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'eye', 'pressure']","Relaxed, Euphoric, Happy, Tingly","Dry Mouth, Dry Eyes","Apple Kush is the indica-dominant hybrid cross of Sour Diesel and Pure Kush. This strain leads with powerful cerebral effects that align well with people suffering from depression or anxiety, and follows with body effects that are ideal for curbing inflammation. Indulge in this Oregonian favorite later in the day, as the strain’s creeping sedative effects can be rather weighty.","Relaxed,Euphoric,Uplifted,Happy,Tingly","Apple, Diesel, Sweet",53
54,Appleberry,4.09,indica,"['depression', 'stress', 'lack', 'appetite', 'headache', 'muscle', 'spasm']","Relaxed, Sleepy, Focused",Not Available,"Appleberry by Sumo Seeds in an indica-dominant yield machine. Bred from (Dynamite x Bubblelicious) x White Widow, this strain has classic Central Asian and Central American roots while expressing a terpene profile all its own. The strain’s aroma exemplifies its title, smelling of a subtle apple and berry. Its effects are extremely relaxing, bordering on sedative, imbuing the limbs with a warm weighted aura. Utilize Appleberry as an anxiolytic and for all-around pain relief. Appleberry won 1st place in the 'Bio' category at the 2016 Highlife Cup in Amsterdam.","Relaxed,Happy,Sleepy,Hungry,Euphoric","Berry, Earthy, Flowery",54
55,Arctic Sun,3.41,hybrid,['stress'],"Relaxed, Hungry, Euphoric, Creative, Energetic",Not Available,"Cultivated by Flying Dutchman, Arctic Sun is a 60/40 sativa-dominant hybrid of Skunk #1 and White Widow. These two crosses create a pungent fuel-like tang with floral undertones. When consumed, a robust burst of euphoria and energy comes through, stimulating both social interaction and creativity. Patients often look to this strain for relief of chronic pain, sleeplessness, and muscle spasms.","Creative,Relaxed,Energetic,Euphoric,Focused","Ammonia, Skunk",55
56,Area 51,3.64,hybrid,"['depression', 'pain', 'stress', 'cramp', 'fatigue']","Relaxed, Happy, Talkative, Uplifted, Giggly",Dry Mouth,"A sativa-dominant hybrid of unknown origin, Area 51 has a sweet smell with citrus and floral undertones and a smooth flowery smoke. Area 51 is a potent strain that will give consumers an immediate feeling of euphoria along with a relaxed yet motivated mental focus.","Happy,Uplifted,Relaxed,Euphoric,Creative","Sweet, Earthy, Citrus",56
57,Argyle,2.5,indica,"['depression', 'pain', 'stress', 'cramp', 'fatigue']","Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes","Argyle is a variety of Nordle grown by Canadian LP Tweed, Inc. The indica-dominant hybrid crosses Afghani and Sensi Star genetics. The resulting buds smell of garlic and herbs, like fresh cut chives but with a fruity aftertaste. With a 1:1 ratio of THC to CBD Argyle creates a mellow, calming buzz that is a great answer to body pains and muscle spasms.","Happy,Uplifted,Relaxed,Sleepy,Focused","Earthy, Woody, Citrus",57
58,Armageddon,2.73,hybrid,"['depression', 'stress', 'lack', 'appetite', 'fatigue', 'headache']","Relaxed, Euphoric, Happy, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Armageddon sounds pretty intimidating and while this strain is potent, consumers come down from its intense mental lift to find the world still exists—it just feels a little more relaxing. This strain’s plants flower quickly at 8 weeks and produce high yields of multi-colored buds that smell strongly of woodsy citrus. The citrus notes carry over into the taste, which is diverse and includes cheese and some fruitiness as well. Armageddon tends to have medium-high to high THC levels, packing a powerful punch for some consumers while others find the initial head effects great for day use and stimulating conversation. Eventually Armageddon mellows into solid body relaxation to finish off its exceptionally long buzz.","Uplifted,Giggly,Happy,Relaxed,Talkative","Citrus, Earthy, Pungent",58
59,Armagnac,3.18,hybrid,"['insomnia', 'stress']","Relaxed, Euphoric, Sleepy, Aroused","Dizzy, Dry Mouth","Armagnac, bred by New House Seeds, is a hybrid that combines Krome’s The White with DJ Short’s Grape Kush. The strain takes its name from a specie of grapes native to the Gascony region of France and used for making brandy. Armagnac’s aroma is a mix of sweet, earthy flavors that give off a pungent fruit flavor of fresh grapes when exhaled. The effects are a mellow mix of a relaxed body and a refreshed mood, great for relieving pain and anxiety.","Relaxed,Sleepy,Talkative,Giggly,Happy","Earthy, Skunk, Flowery",59
60,Ash,3.86,hybrid,"['depression', 'pain', 'stress', 'lack', 'appetite', 'headache', 'eye', 'pressure']","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Ash is an indica-dominant hybrid cross between Afghan Haze and Afghan Skunk bred by Mr. Nice Seeds. These buds offer a fruity, berry aroma and effects that run the gamut between relaxing indicas and stimulating sativas. This strain's name, sometimes spelled A.S.H., is an acronym denoting its Afghani, Skunk, and Haze lineage.","Relaxed,Happy,Uplifted,Euphoric,Sleepy","Earthy, Pine, Pungent",60
61,Asian Fantasy,3.64,sativa,"['pain', 'stress', 'lack', 'appetite', 'headache', 'headache', 'eye', 'pressure']","Relaxed, Hungry, Euphoric, Happy, Talkative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","After repeated rumors that this strain suffered extinction thanks to a secretive breeder, enough sightings occur regularly to ensure that while rare, the Asian Fantasy strain does still exist. Its genetics, however, remain a mystery. What’s clear is that this strain has a healthy dose of sativa in it that will get ideas and creativity flowing. It’s also a beauty, with large, curled buds that have a covering of brick red hairs. The flowers emit a sweet and sour fragrance while the taste has a healthy dose of spice.","Euphoric,Hungry,Happy,Relaxed,Talkative","Earthy, Skunk, Woody",61
62,Astroboy,3.86,sativa,"['depression', 'pain', 'fatigue', 'headache', 'muscle', 'spasm']","Happy, Creative, Energetic, Tingly, Focused",Not Available,"Astroboy is an energetic, sativa-dominant hybrid cannabis strain that combines Apollo 13 genetics with a cross of Ortega and Cinderella 99 bred by TGA Subcool Seeds. A mix of sweet and sour fruit flavors, like citrus and cherry, lead the way towards a heady buzz that is fast-acting and uplifting. The cerebral energy sparked by Astroboy is a great choice to keep you happy and active throughout a busy day. The watermelon phenotype of Astroboy is known to be an exceptional expression of the strain and is often desired as an influence for other breeding projects.","Relaxed,Energetic,Happy,Creative,Focused","Citrus, Sweet, Grapefruit",62
63,Athabasca,4.09,indica,"['depression', 'stress', 'fatigue', 'headache', 'seizure']","Relaxed, Happy, Talkative, Uplifted",Dry Mouth,"Athabasca is a variety of the strain Pennywise grown by Canadian LP Aphria. Genetics from Harlequin and Jack the Ripper come together to create a sweet woody aroma that is highlighted by sharp peppery undertones. With a 1:1 ratio of CBD to THC the psychoactive effects are mild yet relaxing, making Athabasca an effective treatment for arthritis, PTSD, and epilepsy.","Talkative,Uplifted,Happy,Relaxed,Giggly","Earthy, Ammonia, Apple",63
